event,time,ip,user,code,time
1,19:25:54,20216812083,5,530,
2,19:25:56,20216812083,5,331,
3,19:25:56,20216812083,5,530,
4,19:25:57,20216812083,5,331,
5,19:25:57,20216812083,5,530,
6,19:25:59,20216812083,5,331,
7,19:25:59,20216812083,5,530,
8,19:26:01,20216812083,5,331,
9,19:26:01,20216812083,5,530,
10,19:26:02,20216812083,5,331,
11,19:26:02,20216812083,5,530,
12,19:26:04,20216812083,5,331,
13,19:26:04,20216812083,5,530,
14,19:26:06,20216812083,5,331,
15,19:26:06,20216812083,5,530,
16,19:26:08,20216812083,5,331,
17,19:26:08,20216812083,5,530,
18,19:26:09,20216812083,5,331,
19,19:26:09,20216812083,5,530,
20,19:26:11,20216812083,5,331,
21,19:26:11,20216812083,5,530,
22,19:26:13,20216812083,5,331,
23,19:26:13,20216812083,5,530,
24,19:26:14,20216812083,5,331,
25,19:26:14,20216812083,5,530,
26,19:26:16,20216812083,5,331,
27,19:26:16,20216812083,5,530,
28,19:26:18,20216812083,5,331,
29,19:26:18,20216812083,5,530,
30,19:26:19,20216812083,5,331,
31,19:26:19,20216812083,5,530,
32,19:26:21,20216812083,5,331,
33,19:26:21,20216812083,5,530,
34,19:26:23,20216812083,5,331,
35,19:26:23,20216812083,5,530,
36,19:26:24,20216812083,5,331,
37,19:26:24,20216812083,5,530,
38,19:26:26,20216812083,5,331,
39,19:26:26,20216812083,5,530,
40,19:26:28,20216812083,5,331,
41,19:26:28,20216812083,5,530,
42,19:26:29,20216812083,5,331,
43,19:26:29,20216812083,5,530,
44,19:26:31,20216812083,5,331,
45,19:26:31,20216812083,5,530,
46,19:26:33,20216812083,5,331,
47,19:26:33,20216812083,5,530,
48,19:26:34,20216812083,5,331,
49,19:26:34,20216812083,5,530,
50,19:26:36,20216812083,5,331,
51,19:26:36,20216812083,5,530,
52,19:26:38,20216812083,5,331,
53,19:26:38,20216812083,5,530,
54,19:26:39,20216812083,5,331,
55,19:26:39,20216812083,5,530,
56,19:26:41,20216812083,5,331,
57,19:26:41,20216812083,5,530,
58,19:26:43,20216812083,5,331,
59,19:26:43,20216812083,5,530,
60,19:26:45,20216812083,5,331,
61,19:26:45,20216812083,5,530,
62,19:26:46,20216812083,5,331,
63,19:26:46,20216812083,5,530,
64,19:26:48,20216812083,5,331,
65,19:26:48,20216812083,5,530,
66,19:26:50,20216812083,5,331,
67,19:26:50,20216812083,5,530,
68,19:26:51,20216812083,5,331,
69,19:26:51,20216812083,5,530,
70,19:26:53,20216812083,5,331,
71,19:26:53,20216812083,5,530,
72,19:26:55,20216812083,5,331,
73,19:26:55,20216812083,5,530,
74,19:26:56,20216812083,5,331,
75,19:26:56,20216812083,5,530,
76,19:26:58,20216812083,5,331,
77,19:26:58,20216812083,5,530,
78,19:27:00,20216812083,5,331,
79,19:27:00,20216812083,5,530,
80,19:27:01,20216812083,5,331,
81,19:27:01,20216812083,5,530,
82,19:27:03,20216812083,5,331,
83,19:27:03,20216812083,5,530,
84,19:27:05,20216812083,5,331,
85,19:27:05,20216812083,5,530,
86,19:27:06,20216812083,5,331,
87,19:27:06,20216812083,5,530,
88,19:27:08,20216812083,5,331,
89,19:27:08,20216812083,5,530,
90,19:27:10,20216812083,5,331,
91,19:27:10,20216812083,5,530,
92,19:27:11,20216812083,5,331,
93,19:27:11,20216812083,5,530,
94,19:27:13,20216812083,5,331,
95,19:27:13,20216812083,5,530,
96,19:27:15,20216812083,5,331,
97,19:27:15,20216812083,5,530,
98,19:27:16,20216812083,5,331,
99,19:27:16,20216812083,5,530,
100,19:27:18,20216812083,5,331,
101,19:27:18,20216812083,5,530,
102,19:27:20,20216812083,5,331,
103,19:27:20,20216812083,5,530,
104,19:27:21,20216812083,5,331,
105,19:27:21,20216812083,5,530,
106,19:27:23,20216812083,5,331,
107,19:27:23,20216812083,5,530,
108,19:27:25,20216812083,5,331,
109,19:27:25,20216812083,5,530,
110,19:27:26,20216812083,5,331,
111,19:27:26,20216812083,5,530,
112,19:27:28,20216812083,5,331,
113,19:27:28,20216812083,5,530,
114,19:27:30,20216812083,5,331,
115,19:27:30,20216812083,5,530,
116,19:27:32,20216812083,5,331,
117,19:27:32,20216812083,5,530,
118,19:27:33,20216812083,5,331,
119,19:27:33,20216812083,5,530,
120,19:27:35,20216812083,5,331,
121,19:27:35,20216812083,5,530,
122,19:27:37,20216812083,5,331,
123,19:27:37,20216812083,5,530,
124,19:27:38,20216812083,5,331,
125,19:27:38,20216812083,5,530,
126,19:27:40,20216812083,5,331,
127,19:27:40,20216812083,5,530,
128,19:27:42,20216812083,5,331,
129,19:27:42,20216812083,5,530,
130,19:27:43,20216812083,5,331,
131,19:27:43,20216812083,5,530,
132,19:27:45,20216812083,5,331,
133,19:27:45,20216812083,5,530,
134,19:27:47,20216812083,5,331,
135,19:27:47,20216812083,5,530,
136,19:27:48,20216812083,5,331,
137,19:27:48,20216812083,5,530,
138,19:27:50,20216812083,5,331,
139,19:27:50,20216812083,5,530,
140,19:27:52,20216812083,5,331,
141,19:27:52,20216812083,5,530,
142,19:27:53,20216812083,5,331,
143,19:27:53,20216812083,5,530,
144,19:27:55,20216812083,5,331,
